iter	MultiClass
0	2.181951629
1	2.16740563
2	2.153362569
3	2.139290388
4	2.126199235
5	2.113299758
6	2.100847955
7	2.088305167
8	2.07624254
9	2.064587596
10	2.053168978
11	2.041997688
12	2.030623333
13	2.019843548
14	2.008935375
15	1.998707321
16	1.988244623
17	1.978298194
18	1.968672476
19	1.959059311
20	1.949630704
21	1.940403868
22	1.93143756
23	1.922508785
24	1.913487861
25	1.904862195
26	1.896083034
27	1.887656421
28	1.87930552
29	1.871246469
30	1.863275167
31	1.85530956
32	1.847371648
33	1.839704102
34	1.832180604
35	1.824749773
36	1.817325931
37	1.809763088
38	1.802523545
39	1.795583227
40	1.788796147
41	1.781663248
42	1.774434835
43	1.767858844
44	1.761172714
45	1.754602288
46	1.748157144
47	1.741718082
48	1.735417633
49	1.729188755
50	1.723028083
51	1.716956195
52	1.710597505
53	1.704589941
54	1.698751791
55	1.692897852
56	1.687055043
57	1.681424877
58	1.675718221
59	1.670226667
60	1.664406636
61	1.658963227
62	1.65365416
63	1.648233141
64	1.642816781
