iter	Passed	Remaining
0	477	47262
1	947	46439
2	1425	46097
3	1900	45618
4	2372	45068
5	2849	44645
6	3328	44215
7	3802	43726
8	4272	43199
9	4746	42719
10	5220	42235
11	5699	41799
12	6194	41454
13	6664	40941
14	7137	40443
15	7606	39933
16	8079	39448
17	8549	38948
18	9019	38452
19	9501	38005
20	10014	37674
21	10503	37240
22	10983	36770
23	11463	36300
24	11938	35814
25	12408	35315
26	12885	34839
27	13354	34341
28	13835	33872
29	14305	33380
30	14776	32890
31	15248	32402
32	15725	31926
33	16211	31469
34	16684	30985
35	17155	30498
36	17622	30005
37	18092	29520
38	18561	29031
39	19083	28625
40	19547	28129
41	20018	27645
42	20425	27076
43	20897	26596
44	21363	26111
45	21833	25630
46	22301	25148
47	22778	24676
48	23252	24201
49	23722	23722
50	24196	23247
51	24671	22773
52	25091	22251
53	25583	21793
54	26074	21333
55	26555	20864
56	27024	20387
57	27496	19910
58	27983	19446
59	28506	19004
60	28973	18524
61	29440	18043
62	29910	17566
63	30378	17087
64	30856	16614
