Name,Remarks
Frodo Baggins,"The main protagonist of The Lord of the Rings, a Hobbit of exceptional character. Frodo is also a friend of the Elves, knowledgeable in their language and a lover of their songs. Like Bilbo—or any other good Hobbit—Frodo loves good food and simple comforts, but he is also thoughtful and curious and has a wisdom and strength of character that set him apart."
Samwise (Sam) Gamgee,"The former gardener at Bag End and Frodo’s indomitable servant throughout his quest. Although Sam is not extraordinarily wise or intelligent, his common sense and powers of observation serve him well. Perhaps most important, he is stubborn, brave, and deeply loyal to Frodo."
Gandalf the Grey,"One of the five great Wizards in Middle-earth, second in his order only to Saruman. Known to most Hobbits only as a creator of fine fireworks, Gandalf is actually powerful beyond their imagination. He is also wise, humorous, kind, and generous, though sometimes short-tempered."
Legolas,"An Elf from Mirkwood. Legolas is light on his feet and masterful with a bow. After overcoming initial differences that stem from the historical antipathy between their races, he and the Dwarf Gimli become fast friends."
Gimli,"A Dwarf, the son of Glóin (one of Bilbo’s company in The Hobbit). Gimli bristles when he feels insulted, but he is noble, stalwart, and brave."
Aragorn,"The heir of Isildur, one of the few Men from the great race of Númenor left in Middle-earth. Aragorn is also known as Strider. Before the coming of the Ring, he lived as a Ranger in the North, protecting the Shire and other lands from servants of the Enemy. Aragorn is a formidable warrior and tracker."
Boromir,"One of the Men of Gondor, from the city of Minas Tirith in the south. Boromir is a valiant fighter and is always trustworthy in battle, but his pride and recklessness make him vulnerable to the Ring’s power."
Peregrin (Pippin) Took,A young and somewhat rash Hobbit. Pippin is good-natured and a bit of a smart aleck.
Meriadoc (Merry) Brandybuck,"A young Hobbit from Buckland. Merry has a temperament similar to Pippin’s, though he is more mature and, unlike most Hobbits, not afraid of boats and water."
Sauron,"The antagonist and title character of The Lord of the Rings. The Dark Lord Sauron, a servant of Morgoth, the Great Enemy, took his master’s place after the First Age. The enormously powerful Sauron is never seen at any point in the novel; he is represented only by images of his Great Eye or the Dark Tower where he resides. He fervently desires the One Ring, which he created long ago and which holds a great part of his power. Sauron is wise, but he only thinks in terms of desire—especially desire for power. He therefore does not understand those who would want to destroy the Ring rather than use it—which is perhaps his only weakness."
The Ringwraiths,"Nine minions of Sauron who ceaselessly search for the One Ring. The Ringwraiths—also known as the Black Riders, the Nine, or the Nazgûl (the Elvish term)—take the form of cloaked riders on terrifying black horses. They pursue Frodo incessantly, and are especially drawn to him at any moments when he puts the Ring on his finger."
Saruman the White,"The head of Gandalf’s order of Wizards. Saruman advises the other Wizards not to challenge the growing power of Sauron. Gandalf, who suspects that Saruman intends to join Sauron’s forces outright, confirms his suspicions when he travels to Saruman’s tower, Orthanc. Saruman does not himself appear as a character until The Two Towers, but his presence and influence are clearly felt in The Fellowship of the Ring."
Gollum (Sméagol),"A hunched, miserable creature who was once Sméagol, a young boy of a Hobbit-like race. Sméagol killed his friend Déagol after Déagol found the One Ring on the bottom of the Anduin River. The Ring corrupted Sméagol and changed him into his current form, the creature called Gollum. Gollum maintained possession of the Ring until he lost in it in his caves in the Misty Mountains, where Bilbo recovered it."
The Balrog,"A mysterious, gigantic, terrifying elemental demon from deep inside the earth. The Balrog, the “nameless fear” awakened by the Dwarves in the Mines of Moria, emerges from the depths when the Fellowship passes through the Mines, and it ultimately confronts Gandalf in an epic battle. The Balrog, which brandishes an enormous flaming sword and whip, is wreathed in flame and yet exudes shadow and darkness."
Orcs,"Squat, swarthy, wretched creatures that are seemingly limitless in number and that serve the purposes of Sauron. Hordes of Orcs, which are unable to withstand daylight and therefore emerge almost exclusively at night, pursue the Fellowship through the Mines of Moria and beyond; it is presumed that the Orcs are also responsible for the death of Balin and the other Dwarves who returned to Moria in an attempt to reclaim the ancient Dwarf realm there."
Bill Ferny,"A swarthy, suspicious fellow in Bree who appears to have been paid off by the Black Riders to watch Frodo’s movements. Bill Ferny sells the hobbits a half-starved pony at a high price to replace the ponies the Black Riders set loose the night before."
Elrond Halfelven,"The Master of Rivendell. Elrond is descended from a Man and an Elf—thus, “Halfelven.” He had the choice to be mortal or immortal and chose the latter. As a consequence, Elrond must leave Middle-earth when the time comes, most likely at the end of the War of the Ring. He is renowned for his wisdom and learning."
Galadriel,"The Lady of Lothlórien and perhaps the wisest of the Elves. Galadriel bears one of the Elven Rings of Power and uses it to read Sauron’s mind. Like Elrond, she sometimes appears as less a character than an embodiment of physical, mental, and spiritual perfection."
Celeborn,"The husband of Galadriel. Celeborn and Galadriel, who both appear to be timeless, ageless beings, rule as Lord and Lady of Lórien, the Elvish forest."
Arwen Evenstar,"Elrond’s beautiful daughter, who plays only a minor role in The Fellowship of the Ring, but becomes more prominent later in The Lord of the Rings."
Gildor Inglorion,An Elf whose approach saves the hobbits from an encounter with one of the Black Riders. Gildor tells Frodo that the mysterious Black Riders are servants of the Enemy and must be avoided at all costs.
