Name,url
Balin,https://lotr.fandom.com/wiki/Balin
Bard,https://lotr.fandom.com/wiki/Bard
Beorn,https://lotr.fandom.com/wiki/Beorn
Bifur,https://lotr.fandom.com/wiki/Bifur
Bilbo Baggins,https://lotr.fandom.com/wiki/Bilbo_Baggins
Bofur,https://lotr.fandom.com/wiki/Bofur
Bolg,https://lotr.fandom.com/wiki/Bolg
Bombur,https://lotr.fandom.com/wiki/Bombur
Carc,https://lotr.fandom.com/wiki/Carc
Dori,https://lotr.fandom.com/wiki/Dori
Dwalin,https://lotr.fandom.com/wiki/Dwalin
Dáin II Ironfoot,https://lotr.fandom.com/wiki/D%C3%A1in_II_Ironfoot
Elrond,https://lotr.fandom.com/wiki/Elrond
Fíli and Kíli,https://lotr.fandom.com/wiki/F%C3%ADli_and_K%C3%ADli
Galion,https://lotr.fandom.com/wiki/Galion
Gandalf,https://lotr.fandom.com/wiki/Gandalf
Glóin,https://lotr.fandom.com/wiki/Gl%C3%B3in
Golfimbul,https://lotr.fandom.com/wiki/Golfimbul
Gollum,https://lotr.fandom.com/wiki/Gollum
Great Goblin,https://lotr.fandom.com/wiki/Great_Goblin
Master of Lake-town,https://lotr.fandom.com/wiki/Master_of_Lake-town
Nori,https://lotr.fandom.com/wiki/Nori
Ori,https://lotr.fandom.com/wiki/Ori
Radagast,https://lotr.fandom.com/wiki/Radagast
Roäc,https://lotr.fandom.com/wiki/Ro%C3%A4c
Smaug,https://lotr.fandom.com/wiki/Smaug
Thorin II Oakenshield,https://lotr.fandom.com/wiki/Thorin_II_Oakenshield
Thranduil,https://lotr.fandom.com/wiki/Thranduil
Thráin II,https://lotr.fandom.com/wiki/Thr%C3%A1in_II
Thrór,https://lotr.fandom.com/wiki/Thr%C3%B3r
"Tom, Bert, and William","https://lotr.fandom.com/wiki/Tom,_Bert,_and_William"
Bandobras Took,https://lotr.fandom.com/wiki/Bandobras_Took
Óin,https://lotr.fandom.com/wiki/%C3%93in
